setid,"Temperature, K","Pressure, kPa",Mole fraction of trimethylbenzylammonium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XLvxS,283.15,100,0.25,1191,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,288.15,100,0.25,1188,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,293.15,100,0.25,1185,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,298.15,100,0.25,1182,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,303.15,100,0.25,1179,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,308.15,100,0.25,1176,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,313.15,100,0.25,1173,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,318.15,100,0.25,1170,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,323.15,100,0.25,1167,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,328.15,100,0.25,1164,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,333.15,100,0.25,1161,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,338.15,100,0.25,1158,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
XLvxS,343.15,100,0.25,1155,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,
