setid,"Temperature, K","Pressure, kPa",Mole fraction of methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VYVnT,283.15,100,0.5,1246.2,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,288.15,100,0.5,1243.6,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,293.15,100,0.5,1240.7,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,298.15,100,0.5,1238.2,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,303.15,100,0.5,1235.6,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,308.15,100,0.5,1232.8,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,313.15,100,0.5,1230.1,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,318.15,100,0.5,1227.4,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,323.15,100,0.5,1224.7,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,328.15,100,0.5,1222,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,333.15,100,0.5,1219.5,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,338.15,100,0.5,1216.9,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,343.15,100,0.5,1214.3,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,348.15,100,0.5,1211.7,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
VYVnT,353.15,100,0.5,1209.1,Kazarina et al. (2023a),Density,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
