setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SORkI,303.15,0,101,1034,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,0.1007,101,1172.2,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,0.1989,101,1262.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,0.2995,101,1329.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,0.4026,101,1382.1,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,0.5001,101,1420.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,0.5999,101,1453.2,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,0.7039,101,1482.6,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,0.8003,101,1505.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,0.8993,101,1525.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,303.15,1,101,1544.2,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0,101,1030.3,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0.1007,101,1167.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0.1989,101,1257.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0.2995,101,1324.9,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0.4026,101,1376.9,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0.5001,101,1415.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0.5999,101,1447.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0.7039,101,1477.2,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0.8003,101,1500,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,0.8993,101,1520.3,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,308.15,1,101,1538.7,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0,101,1026.6,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0.1007,101,1163.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0.1989,101,1253.1,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0.2995,101,1320,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0.4026,101,1371.7,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0.5001,101,1410.2,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0.5999,101,1442.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0.7039,101,1471.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0.8003,101,1494.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,0.8993,101,1514.8,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,313.15,1,101,1533.3,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,0,101,1023,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,0.1007,101,1159.1,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,0.1989,101,1248.5,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,0.2995,101,1315.1,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,0.4026,101,1366.6,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,0.5001,101,1404.9,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,0.5999,101,1437.1,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SORkI,318.15,0.7039,101,1466.3,Akbar et al. (2016),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ACNmkc,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
