setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of L-proline, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OgvtX,288.15,0,86,0.7,1021.1,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.02216,86,0.7,1021.9,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.02776,86,0.7,1022.1,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.0321,86,0.7,1022.3,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.03575,86,0.7,1022.4,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.03984,86,0.7,1022.5,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.04331,86,0.7,1022.6,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.04591,86,0.7,1022.7,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.06132,86,0.7,1023.2,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.0735,86,0.7,1023.6,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.10596,86,0.7,1024.5,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.14109,86,0.7,1025.5,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.19885,86,0.7,1027.1,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.27083,86,0.7,1029,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,288.15,0.36651,86,0.7,1031.6,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,293.15,0,86,0.7,1019.9,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,293.15,0.02216,86,0.7,1020.7,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,293.15,0.02776,86,0.7,1020.9,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,293.15,0.0321,86,0.7,1021,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,293.15,0.03575,86,0.7,1021.2,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,293.15,0.03984,86,0.7,1021.3,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,293.15,0.04331,86,0.7,1021.4,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
OgvtX,293.15,0.04591,86,0.7,1021.5,Naderi and Sadeghi (2019),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
