setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PUqyW,0.0517,298.15,101,1003.36,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.0891,298.15,101,1016.08,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.1483,298.15,101,1035.02,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.2233,298.15,101,1057.1,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.2901,298.15,101,1074.98,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.3194,298.15,101,1082.5,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.3902,298.15,101,1099.82,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.4732,298.15,101,1118.6,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.5364,298.15,101,1131.83,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.6235,298.15,101,1148.55,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.696,298.15,101,1161.73,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.8065,298.15,101,1179.9,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
PUqyW,0.8947,298.15,101,1193.18,Iglesias-Otero et al. (2008a),Density,Liquid,AAZpai,CCOCCOCCO,"3,6-dioxa-1-octanol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
