setid,"Temperature, K","Solvent: MolaLity of N,N-dimethylbenzylammonium acetate, mol/kg","MolaLity of D-cellobiose, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cCpte,288.15,0,0,101,999.129,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0,0.04565,101,1005.09,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0,0.07217,101,1008.5,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0,0.08095,101,1009.61,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0,0.10052,101,1012.08,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0,0.11911,101,1014.41,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0,0.14,101,1017,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0.05,0,101,1000.06,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0.05,0.04137,101,1005.39,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0.05,0.06856,101,1008.83,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0.05,0.07664,101,1009.85,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0.05,0.1072,101,1013.66,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0.05,0.13185,101,1016.7,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
cCpte,288.15,0.05,0.15504,101,1019.53,Singh et al. (2015d),Density,Liquid,ABNqcL,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-cellobiose,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate"
