setid,"Temperature, K",Mole fraction of N-ethyl-N-methylmorpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uckUX,298.15,0.023,101,1062.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,298.15,0.045,101,1111.8,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,298.15,0.07,101,1156,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,298.15,0.1,101,1197.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,298.15,0.128,101,1227,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,298.15,0.16,101,1254.9,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,298.15,0.192,101,1278.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,298.15,0.22,101,1295.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,298.15,0.252,101,1311.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,303.15,0.023,101,1060.7,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,303.15,0.045,101,1109.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,303.15,0.07,101,1153.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,303.15,0.1,101,1194.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,303.15,0.128,101,1224.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,303.15,0.16,101,1252,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,303.15,0.192,101,1275.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,303.15,0.22,101,1292.1,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,303.15,0.252,101,1308.2,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,308.15,0.023,101,1058.6,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,308.15,0.045,101,1107.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,308.15,0.07,101,1151,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,308.15,0.1,101,1191.8,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,308.15,0.128,101,1221.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,308.15,0.16,101,1249,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,308.15,0.192,101,1272.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,308.15,0.22,101,1289,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,308.15,0.252,101,1305,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,313.15,0.023,101,1056.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,313.15,0.045,101,1104.8,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,313.15,0.07,101,1148.3,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,313.15,0.1,101,1189,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
uckUX,313.15,0.128,101,1218.4,Krolikowska et al. (2019a),Density,Liquid,AAoVDR,CC[N+]1(C)CCOCC1.[Br-],N-ethyl-N-methylmorpholinium bromide,AADYJk,O,water,,,
