setid,Mole fraction of benzene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wNdIz,0,101,283.15,1503.1,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.0451,101,283.15,1494.4,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.0992,101,283.15,1483.35,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.2018,101,283.15,1459.76,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.2845,101,283.15,1438.14,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.3887,101,283.15,1405.91,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.498,101,283.15,1364.46,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.5447,101,283.15,1343.48,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.6413,101,283.15,1291.85,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.7394,101,283.15,1224.42,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,0.7983,101,283.15,1173.52,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
wNdIz,1,101,283.15,889.58,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
