setid,"Solvent: MolaLity of lithium bromide, mol/kg","MolaLity of 1-butyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JvMTy,0,0,86,298.15,997,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
JvMTy,0,0.0051,86,298.15,997.1,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
JvMTy,0,0.0094,86,298.15,997.2,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
JvMTy,0,0.0184,86,298.15,997.3,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
JvMTy,0,0.027,86,298.15,997.5,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
JvMTy,0,0.0295,86,298.15,997.5,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
JvMTy,0,0.0321,86,298.15,997.5,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
JvMTy,0,0.0372,86,298.15,997.6,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
JvMTy,0.192,0,86,298.15,1008.1,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
JvMTy,0.192,0.007,86,298.15,1008.2,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAQklV,[Br-].[Li+],lithium bromide
