setid,Mole fraction of 1-ethyl-3-methylimidazolium perfluorooctylsulfonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RiOzH,0.333,293.15,100,1689.3,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.333,303.15,100,1673.9,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.333,313.15,100,1656.4,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.333,323.15,100,1642.8,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.5,293.15,100,1672.1,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.5,303.15,100,1662,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.5,313.15,100,1649,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.5,323.15,100,1635.1,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.667,293.15,100,1687.5,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.667,303.15,100,1673.2,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.667,313.15,100,1660.8,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
RiOzH,0.667,323.15,100,1647.7,Castro et al. (2020),Density,Liquid,ACNSzP,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium perfluorooctylsulfonate,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
