setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapropylammonium iodide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tzvWF,293.15,0,100,0.01,998.62,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.003,100,0.01,998.75,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.006,100,0.01,998.84,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.009,100,0.01,998.88,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.012,100,0.01,998.92,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.015,100,0.01,998.97,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.018,100,0.01,999.01,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.021,100,0.01,999.04,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.024,100,0.01,999.1,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.027,100,0.01,999.15,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.03,100,0.01,999.18,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,293.15,0.033,100,0.01,999.2,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0,100,0.01,997.49,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.003,100,0.01,997.57,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.006,100,0.01,997.64,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.009,100,0.01,997.7,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.012,100,0.01,997.74,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.015,100,0.01,997.78,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.018,100,0.01,997.82,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.021,100,0.01,997.85,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.024,100,0.01,997.9,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.027,100,0.01,997.95,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.03,100,0.01,998,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,298.15,0.033,100,0.01,998.01,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0,100,0.01,996,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.003,100,0.01,996.16,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.006,100,0.01,996.23,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.009,100,0.01,996.27,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.012,100,0.01,996.31,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.015,100,0.01,996.35,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.018,100,0.01,996.39,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.021,100,0.01,996.42,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.024,100,0.01,996.46,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.027,100,0.01,996.51,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.03,100,0.01,996.58,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,303.15,0.033,100,0.01,996.6,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0,100,0.01,994.41,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.003,100,0.01,994.53,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.006,100,0.01,994.59,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.009,100,0.01,994.63,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.012,100,0.01,994.67,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.015,100,0.01,994.71,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.018,100,0.01,994.74,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.021,100,0.01,994.77,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.024,100,0.01,994.81,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.027,100,0.01,994.86,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.03,100,0.01,994.9,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,308.15,0.033,100,0.01,994.93,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,313.15,0,100,0.01,992.61,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,313.15,0.003,100,0.01,992.7,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,313.15,0.006,100,0.01,992.75,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
tzvWF,313.15,0.009,100,0.01,992.8,Chauhan et al. (2016),Density,Liquid,ABIMfR,CCC[N+](CCC)(CCC)CCC.[I-],tetrapropylammonium iodide,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
