setid,Mole fraction of ethanol,Mole fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oiWZZ,0.0391,0.9485,101,298.15,1007.26,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
oiWZZ,0.0443,0.9286,101,298.15,1031.53,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
oiWZZ,0.0466,0.942,101,298.15,1006.25,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
oiWZZ,0.0557,0.8922,101,298.15,1060.16,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
oiWZZ,0.0559,0.9196,101,298.15,1028.17,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
oiWZZ,0.0658,0.8853,101,298.15,1060.5,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
oiWZZ,0.0704,0.8361,101,298.15,1091.66,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
oiWZZ,0.0837,0.9045,101,298.15,985.96,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
oiWZZ,0.0849,0.8322,101,298.15,1088.41,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
oiWZZ,0.0944,0.8799,101,298.15,1005.86,Calvar et al. (2009e),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
