setid,Mole fraction of propan-2-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aQqZQ,0,298.15,101,1474.44,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.0493,298.15,101,1463.7,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.0921,298.15,101,1454.1,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.291,298.15,101,1401.23,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.4093,298.15,101,1360.46,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.5071,298.15,101,1318.46,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.6113,298.15,101,1262.2,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.6964,298.15,101,1203.91,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.803,298.15,101,1106.76,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.9009,298.15,101,979.02,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,0.9503,298.15,101,892.06,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
aQqZQ,1,298.15,101,780.98,Gomez et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
