setid,"Temperature, K",Mole fraction of 1-butyl-3-methyl-1H-imidazolium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZuEWl,293.15,0.201,101,1148.84,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,293.15,0.399,101,1162.85,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,293.15,0.602,101,1165.72,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,293.15,0.799,101,1165.69,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,298.15,0.201,101,1145.23,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,298.15,0.399,101,1159.41,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,298.15,0.602,101,1162.42,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,298.15,0.799,101,1162.4,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,303.15,0.201,101,1141.57,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,303.15,0.399,101,1155.95,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,303.15,0.602,101,1159.09,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,303.15,0.799,101,1159.12,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,308.15,0.201,101,1137.86,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,308.15,0.399,101,1152.48,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,308.15,0.602,101,1155.74,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,308.15,0.799,101,1155.85,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,313.15,0.201,101,1134.09,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,313.15,0.399,101,1149.01,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,313.15,0.602,101,1152.38,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,313.15,0.799,101,1152.5,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZuEWl,318.15,0.201,101,1130.3,Gong et al. (2012),Density,Liquid,AADYJk,O,water,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
