setid,"MolaLity of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SoFqo,0,293.15,101.3,1113,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0,298.15,101.3,1109.6,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0,303.15,101.3,1106,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0,308.15,101.3,1102.5,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0,313.15,101.3,1099,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0,318.15,101.3,1095.4,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0,323.15,101.3,1091.8,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0,328.15,101.3,1088.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0199,293.15,101.3,1115.2,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
SoFqo,0.0199,298.15,101.3,1111.7,Liu et al. (2023b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
