setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YOMVs,303.15,0.3005,101,1033.1,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,303.15,0.4004,101,1082.8,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,303.15,0.4998,101,1123.8,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,303.15,0.6,101,1159.1,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,303.15,0.6982,101,1188.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,303.15,0.8007,101,1215.1,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,303.15,0.902,101,1237.8,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,303.15,1,101,1257.8,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,0,101,791.8,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,0.1002,101,892.7,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,0.201,101,969.2,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,0.3005,101,1029.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,0.4004,101,1079.2,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,308.15,0.4998,101,1120.3,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
