setid,"Mole fraction of 1,2-propanediol","Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-3-methylimidazolium bromide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eqvrx,0.005,298.15,101,0.01,1024.03,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.01,298.15,101,0.01,1025.21,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.02,298.15,101,0.01,1027.44,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.0401,298.15,101,0.01,1031.82,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.06,298.15,101,0.01,1035.75,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.0801,298.15,101,0.01,1038.5,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.1002,298.15,101,0.01,1041.08,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.2003,298.15,101,0.01,1048.78,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.3005,298.15,101,0.01,1051.29,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.35,298.15,101,0.01,1051.52,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
eqvrx,0.4,298.15,101,0.01,1050.91,Rodrigues and Francesconi (2011),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
