setid,Mole fraction of 3-hexyl-1-methylimidazolium acetate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
phJFc,0,303.15,96.7,1091,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0,308.15,96.7,1086,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0,313.15,96.7,1081,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0,318.15,96.7,1076,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0,323.15,96.7,1071,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0,328.15,96.7,1066,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0,333.15,96.7,1061,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0,338.15,96.7,1056,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.057,303.15,96.7,1083,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.057,308.15,96.7,1079,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.057,313.15,96.7,1074,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.057,318.15,96.7,1070,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.057,323.15,96.7,1065,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.057,328.15,96.7,1061,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.057,333.15,96.7,1056,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.057,338.15,96.7,1052,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.187,303.15,96.7,1066,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.187,308.15,96.7,1062,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.187,313.15,96.7,1058,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.187,318.15,96.7,1054,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.187,323.15,96.7,1050,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.187,328.15,96.7,1046,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.187,333.15,96.7,1042,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.187,338.15,96.7,1038,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
phJFc,0.257,303.15,96.7,1059,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
