setid,"MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yXJYk,1,0,298.15,101,1004.43,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
yXJYk,1,0.15114,298.15,101,1009.12,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
yXJYk,1,0.1705,298.15,101,1009.69,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
yXJYk,1,0.19641,298.15,101,1010.43,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
yXJYk,1,0.33987,298.15,101,1014.85,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
yXJYk,1,0.41706,298.15,101,1017.08,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
yXJYk,1,0.50826,298.15,101,1019.8,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
yXJYk,1,0.60775,298.15,101,1022.65,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
yXJYk,1,0.6115,298.15,101,1022.75,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
yXJYk,1,0.629,298.15,101,1023.3,Singh et al. (2004),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water
