setid,"Temperature, K",Weight fraction of 1-methyl-3-octylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ohfzz,298.15,0.0087,101,997.27,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ohfzz,298.15,0.0173,101,997.52,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ohfzz,298.15,0.026,101,997.76,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ohfzz,298.15,0.0347,101,998.01,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ohfzz,298.15,0.0433,101,998.22,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ohfzz,298.15,0.0521,101,998.46,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ohfzz,298.15,0.0607,101,998.65,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ohfzz,298.15,0.0694,101,998.84,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ohfzz,298.15,0.078,101,998.98,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
ohfzz,298.15,0.0867,101,999.1,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
