setid,"Temperature, K","MolaLity of N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fhDSe,298.15,0,100,943.893,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.008,100,944.951,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.0146,100,945.824,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.0198,100,946.508,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.0346,100,948.423,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.0462,100,949.901,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.0656,100,952.359,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.0746,100,953.482,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.0993,100,956.524,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.1208,100,959.121,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,298.15,0.1556,100,963.256,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,303.15,0,100,939.122,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,303.15,0.008,100,940.182,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
fhDSe,303.15,0.0146,100,941.055,Marcinkowski et al. (2018),Density,Liquid,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
