setid,Mole fraction of hexane,Mole fraction of benzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EzVhI,0.0018,0.333,313.15,101,1157.3,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.004,0.2452,313.15,101,1173.3,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0059,0.1983,313.15,101,1180.4,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0074,0.2457,313.15,101,1172.2,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0102,0.3677,313.15,101,1148,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0105,0.2705,313.15,101,1167.7,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0105,0.3176,313.15,101,1159,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.011,0.0224,313.15,101,1205.7,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0114,0.2176,313.15,101,1177,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0116,0.1658,313.15,101,1185.8,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0118,0.1189,313.15,101,1191.8,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0129,0.0981,313.15,101,1196,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0133,0.0469,313.15,101,1202.5,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0144,0.1468,313.15,101,1188.5,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0198,0.0976,313.15,101,1195.5,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0224,0.0224,313.15,101,1205,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0224,0.1177,313.15,101,1190.2,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0224,0.1642,313.15,101,1184,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0224,0.2166,313.15,101,1176.8,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
EzVhI,0.0255,0.047,313.15,101,1202.1,Gonzalez et al. (2009b),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQdzy,CCCCCC,hexane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
