setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uZINn,298.15,0,101,785.2,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,0.0473,101,829.7,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,0.1129,101,876.41,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,0.1877,101,916.69,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,0.2943,101,957.41,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,0.3637,101,978.05,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,0.5306,101,1014.59,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,0.696,101,1039.7,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,0.8114,101,1052.9,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,0.9174,101,1062.8,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,298.15,1,101,1069.8,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0,101,776.5,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0.0473,101,821.6,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0.1129,101,868.7,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0.1877,101,909.46,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0.2943,101,950.56,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0.3637,101,971.37,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0.5306,101,1008.22,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0.696,101,1033.57,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0.8114,101,1046.8,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,0.9174,101,1056.8,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,308.15,1,101,1063.9,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0,101,767.7,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0.0473,101,813.4,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0.1129,101,861.1,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0.1877,101,902.2,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0.2943,101,943.72,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0.3637,101,964.72,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0.5306,101,1001.9,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0.696,101,1027.47,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0.8114,101,1040.8,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
uZINn,318.15,0.9174,101,1050.9,Domanska and Laskowska (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
