setid,"Temperature, K","MolaLity of tetraphenylphosphorane bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Vpatj,283.15,0,101,950,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.01406,101,951.9,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.03175,101,954.2,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.04618,101,956.1,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.06104,101,958.1,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.0765,101,960.2,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.09165,101,962.2,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.1064,101,964.2,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.1215,101,966.2,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.1374,101,968.3,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,283.15,0.152,101,970.3,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0,101,940.8,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0.01406,101,942.7,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0.03175,101,945,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0.04618,101,947,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0.06104,101,949,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0.0765,101,951,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0.09165,101,953.1,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0.1064,101,955,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0.1215,101,957.1,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
Vpatj,293.15,0.1374,101,959.2,Placzek et al. (2007),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
