setid,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TRvAD,0,101.3,298.15,1228,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.05,101.3,298.15,1214,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.1,101.3,298.15,1201,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.15,101.3,298.15,1187,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.2,101.3,298.15,1174,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.25,101.3,298.15,1161,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.3,101.3,298.15,1148,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.35,101.3,298.15,1135,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.4,101.3,298.15,1123,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.45,101.3,298.15,1111,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.5,101.3,298.15,1099,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.55,101.3,298.15,1088,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.6,101.3,298.15,1076,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.65,101.3,298.15,1066,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.7,101.3,298.15,1055,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.75,101.3,298.15,1045,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.8,101.3,298.15,1035,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.85,101.3,298.15,1025,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.9,101.3,298.15,1016,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRvAD,0.95,101.3,298.15,1007,Vila et al. (2006b),Density,Liquid,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
