setid,"Temperature, K","Solvent: MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","MolaLity of glycyl-L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tgQdK,293.15,0.04,0,101,1002.1,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.02002,101,1003.1,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.03942,101,1004.1,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.0591,101,1005.1,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.079,101,1006.1,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.0984,101,1007.1,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.1178,101,1008.1,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.1385,101,1009.2,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.1581,101,1010.2,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.1781,101,1011.2,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
tgQdK,293.15,0.04,0.1996,101,1012.3,Yan et al. (2019),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
