setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
msDsc,303.15,0,96.7,1090.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,303.15,0.21,96.7,1075.7,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,303.15,0.285,96.7,1072.2,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,303.15,0.369,96.7,1068.2,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,303.15,0.478,96.7,1062.9,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,303.15,0.606,96.7,1057.7,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,303.15,0.789,96.7,1051.8,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,303.15,0.884,96.7,1049.1,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,303.15,1,96.7,1046.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
msDsc,308.15,0,96.7,1085.3,Yang et al. (2020a),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
