setid,Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Tgtcc,0,101,298.15,711,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,0.0988,101,298.15,818.91,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,0.1934,101,298.15,894.39,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,0.2995,101,298.15,958.25,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,0.4009,101,298.15,1005.03,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,0.4948,101,298.15,1039.28,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,0.6197,101,298.15,1075.19,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,0.7041,101,298.15,1094.83,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,0.8051,101,298.15,1114.6,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,0.8475,101,298.15,1121.98,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
Tgtcc,1,101,298.15,1145.22,Kermanpour et al. (2013),Density,Liquid,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
