setid,"Temperature, K",Mole fraction of methyltriphenylphosphonium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
icsie,298.15,0.11,101.3,1092.9,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,298.15,0.13,101.3,1099.8,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,298.15,0.14,101.3,1107.4,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,308.15,0.11,101.3,1085,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,308.15,0.13,101.3,1091.9,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,308.15,0.14,101.3,1100,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,318.15,0.11,101.3,1077.1,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,318.15,0.13,101.3,1083.8,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,318.15,0.14,101.3,1092.2,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,328.15,0.11,101.3,1068.9,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,328.15,0.13,101.3,1075.8,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,328.15,0.14,101.3,1084.2,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,338.15,0.11,101.3,1060.8,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,338.15,0.13,101.3,1067.6,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,338.15,0.14,101.3,1076.1,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,348.15,0.11,101.3,1052.7,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,348.15,0.13,101.3,1059.4,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,348.15,0.14,101.3,1068,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,358.15,0.11,101.3,1044.7,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,358.15,0.13,101.3,1051.1,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
icsie,358.15,0.14,101.3,1059.8,Mjalli et al. (2017),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,
