setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium hydrogen sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hDKyl,298.15,0,100,800,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
hDKyl,298.15,0.052,100,859.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
hDKyl,298.15,0.11,100,918.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
hDKyl,298.15,0.247,100,1034.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
hDKyl,298.15,0.33,100,1091.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
hDKyl,298.15,0.425,100,1147.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
hDKyl,298.15,0.535,100,1202.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
hDKyl,298.15,0.663,100,1256.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
hDKyl,298.15,0.816,100,1310.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
hDKyl,298.15,0.903,100,1338,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AALcLI,CCCO,propan-1-ol,,,
