setid,Mole fraction of octane,Mole fraction of toluene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uOBnr,0.003,0.096,298.15,101.3,1204.1,Gonzalez et al. (2010d),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVyLr,CCCCCCCC,octane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
uOBnr,0.003,0.194,298.15,101.3,1185.6,Gonzalez et al. (2010d),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVyLr,CCCCCCCC,octane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
uOBnr,0.006,0.227,298.15,101.3,1179,Gonzalez et al. (2010d),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAVyLr,CCCCCCCC,octane,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate
