setid,Mole fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZiFXY,0.396,278.2,101.3,1171,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,283.2,101.3,1167.4,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,288.2,101.3,1163.9,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,293.2,101.3,1160.5,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,298.2,101.3,1157,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,303.2,101.3,1153.5,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,308.2,101.3,1149.9,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,313.2,101.3,1146.4,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,318.2,101.3,1142.9,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,323.2,101.3,1139.3,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,328.2,101.3,1135.8,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,333.2,101.3,1132.2,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,338.2,101.3,1128.6,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,343.2,101.3,1125,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,348.2,101.3,1121.4,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,353.2,101.3,1117.8,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
ZiFXY,0.396,358.2,101.3,1114.2,Martins et al. (2022),Density,Liquid,AApASb,CC(=O)[O-].CN1CCCN2CCC[NH+]=C12,"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",AADYJk,O,water,,,
