setid,"Temperature, K","MolaLity of trihexylammonium octanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NvzsR,293.15,0.06627,100,866.444,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,293.15,0.12847,100,866.126,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,293.15,0.18342,100,865.88,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,293.15,0.24498,100,865.594,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,293.15,0.2991,100,865.398,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,293.15,0.36331,100,865.222,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,293.15,0.38207,100,865.167,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,293.15,0.4665,100,865.073,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,298.15,0.06627,100,861.799,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,298.15,0.12847,100,861.505,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,298.15,0.18342,100,861.279,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,298.15,0.24498,100,861.018,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,298.15,0.2991,100,860.843,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,298.15,0.36331,100,860.691,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,298.15,0.38207,100,860.639,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,298.15,0.4665,100,860.571,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,303.15,0.06627,100,857.139,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,303.15,0.12847,100,856.868,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,303.15,0.18342,100,856.66,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
NvzsR,303.15,0.24498,100,856.425,Keshapolla et al. (2018),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,AARlpN,Cc1ccccc1,toluene,,,
