setid,"Temperature, K","Pressure, kPa",Weight fraction of 2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium tetrafluoroborate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QMKpU,303.15,101,0.3001,1084.7,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAnpCD,C[NH+](CCO)CCO.F[B-](F)(F)F,2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium tetrafluoroborate,,,
QMKpU,313.15,101,0.3001,1075.1,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAnpCD,C[NH+](CCO)CCO.F[B-](F)(F)F,2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium tetrafluoroborate,,,
QMKpU,323.15,101,0.3001,1067,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAnpCD,C[NH+](CCO)CCO.F[B-](F)(F)F,2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium tetrafluoroborate,,,
QMKpU,333.15,101,0.3001,1058,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAnpCD,C[NH+](CCO)CCO.F[B-](F)(F)F,2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium tetrafluoroborate,,,
QMKpU,343.15,101,0.3001,1047.9,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAnpCD,C[NH+](CCO)CCO.F[B-](F)(F)F,2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium tetrafluoroborate,,,
