setid,"MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UqMPS,0.0308,101,298.15,946.17,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UqMPS,0.2224,101,298.15,958.41,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UqMPS,0.4252,101,298.15,970.01,Shekaari et al. (2012d),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
