setid,"Temperature, K","MolaLity of 1-octyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nPSCn,293.15,0,101,949.1,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,293.15,0.0389,101,952.5,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,293.15,0.0783,101,956.2,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,293.15,0.1507,101,961.9,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,293.15,0.2293,101,967.8,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,293.15,0.2955,101,973.4,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,293.15,0.3763,101,977.8,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,303.15,0,101,939.4,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,303.15,0.0389,101,942.9,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,303.15,0.0783,101,946.5,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,303.15,0.1507,101,952.3,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,303.15,0.2293,101,959.1,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,303.15,0.2955,101,962.9,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,303.15,0.3763,101,968.2,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,313.15,0,101,929.8,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,313.15,0.0389,101,933.3,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,313.15,0.0783,101,936.9,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,313.15,0.1507,101,942.7,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,313.15,0.2293,101,948.6,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,313.15,0.2955,101,953.5,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,313.15,0.3763,101,959.2,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,323.15,0,101,919.9,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,323.15,0.0389,101,923.8,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,323.15,0.0783,101,927.3,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,323.15,0.1507,101,933.2,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,323.15,0.2293,101,939.2,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,323.15,0.2955,101,944.1,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,323.15,0.3763,101,949.7,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,333.15,0,101,910,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,333.15,0.0389,101,914,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,333.15,0.0783,101,917.5,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,333.15,0.1507,101,923.6,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,333.15,0.2293,101,929.6,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,333.15,0.2955,101,934.5,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,333.15,0.3763,101,940.2,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,343.15,0,101,900.2,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,343.15,0.0389,101,904.3,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,343.15,0.0783,101,907.9,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,343.15,0.1507,101,913.8,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,343.15,0.2293,101,919.9,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,343.15,0.2955,101,924.9,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,343.15,0.3763,101,930.7,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,353.15,0,101,890.4,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,353.15,0.0389,101,894.1,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,353.15,0.0783,101,898,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,353.15,0.1507,101,904,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,353.15,0.2293,101,910.3,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,353.15,0.2955,101,915.2,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,353.15,0.3763,101,921.1,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,363.15,0,101,881,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,363.15,0.0389,101,884.7,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,363.15,0.0783,101,888.3,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,363.15,0.1507,101,894.3,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,363.15,0.2293,101,900.6,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
nPSCn,363.15,0.2955,101,905.5,Losetty et al. (2021),Density,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,AAOCWD,CN(C)C=O,dimethylformamide,,,
