setid,"Solvent: MolaLity of lithium chloride, mol/kg","MolaLity of 1-hexyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tAwHD,0.0033,0,86,298.15,1199.22,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0033,0.0114,86,298.15,1198.79,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0033,0.0142,86,298.15,1198.69,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0033,0.0191,86,298.15,1198.5,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0033,0.0248,86,298.15,1198.29,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0033,0.0299,86,298.15,1198.09,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0033,0.0328,86,298.15,1197.98,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0033,0.0381,86,298.15,1197.78,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0033,0.0401,86,298.15,1197.7,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0061,0,86,298.15,1199.37,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0061,0.0103,86,298.15,1198.96,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0061,0.0146,86,298.15,1198.79,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0061,0.0185,86,298.15,1198.64,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0061,0.0229,86,298.15,1198.46,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0061,0.0292,86,298.15,1198.21,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0061,0.0331,86,298.15,1198.06,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
tAwHD,0.0061,0.0375,86,298.15,1197.88,Golmohammadi et al. (2021),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
