setid,"Temperature, K","MolaLity of tributylphenylphosphonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yGbkO,288.15,0.04918,101.3,1001.41,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,288.15,0.06658,101.3,1002.23,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,288.15,0.08287,101.3,1002.98,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,288.15,0.10104,101.3,1003.83,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,288.15,0.12375,101.3,1004.86,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,288.15,0.14478,101.3,1005.82,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,298.15,0.04918,101.3,999.24,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,298.15,0.06658,101.3,1000,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,298.15,0.08287,101.3,1000.71,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,298.15,0.10104,101.3,1001.51,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,298.15,0.12375,101.3,1002.48,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,298.15,0.14478,101.3,1003.38,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,308.15,0.04918,101.3,996.13,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,308.15,0.06658,101.3,996.85,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,308.15,0.08287,101.3,997.52,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,308.15,0.10104,101.3,998.27,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,308.15,0.12375,101.3,999.2,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
yGbkO,308.15,0.14478,101.3,1000.05,Takaizumi and Wakabayashi (1980b),Density,Liquid,ABRFhT,CCCC[P+](CCCC)(CCCC)c1ccccc1.[Br-],tributylphenylphosphonium bromide,AADYJk,O,water,,,
