setid,"Temperature, K",Solvent: Weight fraction of propylene carbonate,"MolaLity of lithium hexafluorophosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ypAeg,283.15,0,0,100,1025.2,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,283.15,0,0.926,100,1121.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,283.15,0,2.147,100,1227.2,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,283.15,0.498,0,100,1117.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,283.15,0.503,0.869,100,1185.3,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,283.15,0.51,1.977,100,1311.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,283.15,1,0,100,1216.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,283.15,1,0.797,100,1278.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,283.15,1,1.813,100,1357.2,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
ypAeg,293.15,0,0,100,1013.1,Wang et al. (2023a),Density,Liquid,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAUBWU,CCOC(=O)OC,ethyl methyl carbonate
