setid,"Temperature, K","Mole fraction of 1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QFgdp,293.15,0,100,1129.5,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.0493,100,1186.3,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.1001,100,1232.9,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.1526,100,1272,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.2001,100,1301,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.3001,100,1350,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.4013,100,1387,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.5004,100,1415,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.5995,100,1438,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.6929,100,1455,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.814,100,1474,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,0.9001,100,1485,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,293.15,1,100,1496,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0,100,1124.6,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.0493,100,1181.3,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.1001,100,1227.9,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.1526,100,1267,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.2001,100,1296,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.3001,100,1345,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.4013,100,1382,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.5004,100,1410,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.5995,100,1433,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.6929,100,1450,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.814,100,1469,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,0.9001,100,1480,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,298.15,1,100,1491,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0,100,1119.7,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0.0493,100,1176.4,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0.1001,100,1223,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0.1526,100,1262,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0.2001,100,1292,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0.3001,100,1340,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0.4013,100,1377,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0.5004,100,1405,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0.5995,100,1428,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
QFgdp,303.15,0.6929,100,1446,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
