setid,Mole fraction of tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hsQMK,0,293.15,100,789.5,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0,298.15,100,785.2,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0,303.15,100,780.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0,308.15,100,776.4,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.0149,293.15,100,833.4,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.0149,298.15,100,829.1,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.0149,303.15,100,824.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.0149,308.15,100,820.4,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.0298,293.15,100,870.7,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.0298,298.15,100,866.3,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.0298,303.15,100,861.9,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.0298,308.15,100,857.3,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.04,293.15,100,893.1,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.04,298.15,100,888.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.04,303.15,100,884.4,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.04,308.15,100,880,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.05,293.15,100,914.3,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
hsQMK,0.05,298.15,100,910,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABoVAt,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tributylmethylammonium bis((trifluoromethyl)sulfonyl)imide,,,
