setid,"Temperature, K",Mole fraction of diethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UylGa,298.15,0,101,1095.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.0144,101,1094,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.029,101,1092.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.044,101,1090.9,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.0752,101,1087.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.1077,101,1084.4,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.1594,101,1079.2,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.2149,101,1073.7,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.2747,101,1068,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.34,101,1062,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.4103,101,1056.1,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.5136,101,1048.3,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
UylGa,298.15,0.6299,101,1040.5,Govinda et al. (2011a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,,,
