setid,"MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mrQcn,0.00525,102,298.15,997.226,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.00574,102,298.15,997.243,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.00615,102,298.15,997.258,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.007,102,298.15,997.288,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.00733,102,298.15,997.299,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.00816,102,298.15,997.329,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.00869,102,298.15,997.347,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.0092,102,298.15,997.365,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01006,102,298.15,997.396,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01063,102,298.15,997.412,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01124,102,298.15,997.43,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01196,102,298.15,997.451,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01274,102,298.15,997.474,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01356,102,298.15,997.498,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01464,102,298.15,997.529,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01526,102,298.15,997.545,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01629,102,298.15,997.575,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
mrQcn,0.01707,102,298.15,997.595,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
