setid,Mole fraction of ethanol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rkKTh,0.0959,101.3,298.15,1311.3,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.1162,101.3,298.15,1309.2,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.1935,101.3,298.15,1300.3,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.2269,101.3,298.15,1296,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.3304,101.3,298.15,1280.8,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.4164,101.3,298.15,1265.2,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.5412,101.3,298.15,1235.2,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.6012,101.3,298.15,1216.2,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.7033,101.3,298.15,1173.46,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.8067,101.3,298.15,1106.85,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
rkKTh,0.8967,101.3,298.15,1010.5,Andreatta et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
