setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bymRD,298.15,0,101,1026,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
bymRD,298.15,0.0115,101,1032,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
bymRD,298.15,0.0257,101,1040,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
bymRD,298.15,0.0702,101,1064,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
bymRD,298.15,0.1017,101,1079,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
bymRD,298.15,0.1498,101,1100,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
bymRD,298.15,0.243,101,1133,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
bymRD,298.15,0.282,101,1144,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
bymRD,298.15,0.3482,101,1162,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
bymRD,298.15,0.4709,101,1189,Kavitha et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
