setid,"Temperature, K",Mole fraction of diethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GzYnp,293.15,0,101,1056.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,293.15,0.2,101,1058.7,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,293.15,0.4,101,1062.8,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,293.15,0.6,101,1068.8,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,293.15,0.8,101,1079.7,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,293.15,1,101,1097.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,303.15,0,101,1049.6,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,303.15,0.2,101,1052.2,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,303.15,0.4,101,1056.3,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,303.15,0.6,101,1062.3,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,303.15,0.8,101,1073.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,303.15,1,101,1090.5,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,313.15,0,101,1043.5,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,313.15,0.2,101,1046.2,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,313.15,0.4,101,1050.3,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,313.15,0.6,101,1056.2,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,313.15,0.8,101,1067,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,313.15,1,101,1083.9,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,323.15,0,101,1037.4,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,323.15,0.2,101,1040.1,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
GzYnp,323.15,0.4,101,1044.2,Haghtalab and Shojaeian (2014),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
