setid,Mole fraction of di(2-aminoethyl)amine,"Mole fraction of 1,2-ethanediol","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JebFd,0.25,0.25,293,100,1104.9,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.25,0.25,303,100,1098.4,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.25,0.25,313,100,1091.8,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.25,0.25,323,100,1085.2,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.25,0.25,333,100,1078.7,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.25,0.25,343,100,1072.1,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.25,0.25,353,100,1065.5,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.333,0.333,293,100,1088.5,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.333,0.333,303,100,1081.4,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
JebFd,0.333,0.333,313,100,1074.3,Zhu et al. (2021),Density,Liquid,AATreB,NCCNCCN,di(2-aminoethyl)amine,AALwIY,OCCO,"1,2-ethanediol",AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
