setid,"Solvent: MolaLity of lithium chloride, mol/kg","MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
niNyK,0.0032,0,86,298.15,1199.18,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
niNyK,0.0032,0.011,86,298.15,1198.62,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
niNyK,0.0032,0.014,86,298.15,1198.44,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
niNyK,0.0032,0.018,86,298.15,1198.24,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
niNyK,0.0032,0.02,86,298.15,1198.16,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
niNyK,0.0032,0.024,86,298.15,1197.93,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
niNyK,0.0032,0.029,86,298.15,1197.71,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
niNyK,0.0032,0.03,86,298.15,1197.65,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
niNyK,0.0032,0.034,86,298.15,1197.46,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
niNyK,0.0064,0,86,298.15,1199.28,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAIHRm,[Cl-].[Li+],lithium chloride
