setid,"Temperature, K","MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XVpwI,288.15,0.0108,85,999.398,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,288.15,0.0204,85,999.663,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,288.15,0.03,85,999.914,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,288.15,0.0401,85,1000.17,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,288.15,0.0509,85,1000.44,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,288.15,0.0583,85,1000.62,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,298.15,0.0108,85,997.345,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,298.15,0.0204,85,997.608,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,298.15,0.03,85,997.858,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,298.15,0.0401,85,998.115,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,298.15,0.0509,85,998.382,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,298.15,0.0583,85,998.553,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,308.15,0.0108,85,994.326,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,308.15,0.0204,85,994.588,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
XVpwI,308.15,0.03,85,994.839,Zafarani-Moattar et al. (2019b),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AADYJk,O,water,,,
