setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Gozsn,0,288.15,101,795.934,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0,293.15,101,791.24,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0,298.15,101,786.531,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0,303.15,101,781.802,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0,308.15,101,777.053,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0.0118,288.15,101,796.849,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0.0118,293.15,101,792.156,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0.0118,298.15,101,787.45,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0.0118,303.15,101,782.728,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0.0118,308.15,101,777.984,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0.02,288.15,101,797.485,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
Gozsn,0.02,293.15,101,792.792,Sadeghi et al. (2009b),Density,Liquid,AAGIBL,CO,methanol,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
