setid,Solvent: Weight fraction of triethylammonium hydrogen sulfate,Mass ratio to solvent: N-(carboxymethyl)glycine,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
unIpi,0.121,0.0847,298.15,101,1122.44,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.121,0.0927,298.15,101,1131.84,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.121,0.1035,298.15,101,1144.46,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.121,0.1151,298.15,101,1159.29,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.121,0.1209,298.15,101,1166.13,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.186,0.0377,298.15,101,1055.96,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.186,0.0529,298.15,101,1097.29,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.186,0.0656,298.15,101,1135.94,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.186,0.0751,298.15,101,1164.3,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.186,0.084,298.15,101,1190.38,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.246,0.0192,298.15,101,1119.13,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.246,0.0282,298.15,101,1156.58,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.246,0.0363,298.15,101,1191.68,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.246,0.0465,298.15,101,1234.23,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
unIpi,0.246,0.0537,298.15,101,1265.3,Vasantha et al. (2013),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
