setid,"Temperature, K",Mole fraction of 1-ethylpyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tFeyj,288.15,0,100,807.55,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,0.1,100,874.04,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,0.1988,100,924.91,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,0.298,100,966.2,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,0.3997,100,1000.95,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,0.4992,100,1028.8,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,0.5971,100,1051.8,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,0.6989,100,1073.1,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,0.8053,100,1092.8,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,0.8905,100,1107.2,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,288.15,1,100,1124.7,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
tFeyj,293.15,0,100,803.59,Xing et al. (2017),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
