setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
byhHg,293.15,0.0818,100,855.4,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,0.1583,100,879.2,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,0.2414,100,904.7,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,0.3482,100,937.1,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,0.4414,100,964.8,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,0.5593,100,999.2,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,0.6481,100,1024.6,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,0.7414,100,1050.8,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,0.8496,100,1080.4,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,0.9402,100,1104.7,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,293.15,1,100,1120.3,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.0818,100,851.9,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.1583,100,875.7,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.2414,100,901.3,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.3482,100,933.6,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.4414,100,961.4,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.5593,100,995.8,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.6481,100,1021.3,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.7414,100,1047.5,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.8496,100,1077.3,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,0.9402,100,1101.7,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,298.15,1,100,1117.5,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,303.15,0.0818,100,848.4,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,303.15,0.1583,100,872.2,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,303.15,0.2414,100,897.7,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,303.15,0.3482,100,930,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,303.15,0.4414,100,957.8,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,303.15,0.5593,100,992.2,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,303.15,0.6481,100,1017.7,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,303.15,0.7414,100,1044,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
byhHg,303.15,0.8496,100,1073.9,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
