setid,"Temperature, K","MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FuBSb,303.15,0.1036,100,779.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,303.15,0.123,100,781.2,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,303.15,0.1437,100,782.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,303.15,0.1636,100,784.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,303.15,0.1835,100,785.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,303.15,0.2042,100,787.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.0248,100,763.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.0423,100,764.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.0636,100,766.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.081,100,768,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.1036,100,769.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.123,100,771.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.1437,100,772.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.1636,100,774.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.1835,100,775.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,308.15,0.2042,100,777.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.0248,100,757.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.0423,100,758.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.0636,100,760.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.081,100,762,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.1036,100,763.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.123,100,765.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.1437,100,766.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.1636,100,768.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.1835,100,769.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
FuBSb,313.15,0.2042,100,771.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
