setid,Weight fraction of water,Solvent: Weight fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gDpVW,0.6,0.8,293.15,100,1087.8,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.6,0.8,303.15,100,1085.3,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.6,0.8,313.15,100,1080.9,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.6,0.8,323.15,100,1075.8,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.6,0.8,333.15,100,1067.5,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.6,0.9,293.15,100,1091.1,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.6,0.9,303.15,100,1088.1,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.6,0.9,313.15,100,1084.8,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.6,0.9,323.15,100,1080.7,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.6,0.9,333.15,100,1077.3,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.7,0.5,293.15,100,1075.8,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.7,0.5,303.15,100,1070.8,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.7,0.5,313.15,100,1053.1,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.7,0.5,323.15,100,1048,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
gDpVW,0.7,0.5,333.15,100,1043.3,Lu et al. (2019c),Density,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQdRr,C1CNCCN1,piperazine
