setid,"Temperature, K","Mole fraction of trihexyl(tetradecyl)phosphonium 1,2,3-triazolide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LtnXq,283.15,0.1,100,1345.8,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
LtnXq,283.15,0.278,100,1205.4,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
LtnXq,283.15,0.612,100,1031.7,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
LtnXq,283.15,0.699,100,998.4,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
LtnXq,283.15,0.8,100,964.6,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
LtnXq,283.15,0.9,100,934.1,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
LtnXq,288.15,0.1,100,1341.4,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
LtnXq,288.15,0.278,100,1201.3,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
LtnXq,288.15,0.612,100,1028.3,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
LtnXq,288.15,0.699,100,994.9,Fillion and Brennecke (2017),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ACCHuD,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1c[nH]nn1,"trihexyl(tetradecyl)phosphonium 1,2,3-triazolide",,,
