setid,"Temperature, K","MolaLity of 4-decyl-4-methylmorpholinium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KIPIf,298.15,0,100,1095.25,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
KIPIf,298.15,0.0103,100,1095.31,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
KIPIf,298.15,0.0143,100,1095.33,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
KIPIf,298.15,0.0194,100,1095.36,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
KIPIf,298.15,0.0244,100,1095.38,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
KIPIf,298.15,0.0295,100,1095.41,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
KIPIf,298.15,0.039,100,1095.46,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
KIPIf,298.15,0.0595,100,1095.56,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
KIPIf,298.15,0.0803,100,1095.67,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
KIPIf,298.15,0.1007,100,1095.77,Marcinkowski et al. (2017),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLQFv,CCCCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,4-decyl-4-methylmorpholinium tetrafluoroborate,,,
