setid,"Solvent: MolaLity of lithium chloride, mol/kg","MolaLity of 1-hexyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zSGJs,0,0,86,298.15,997,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0,0.0105,86,298.15,997.2,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0,0.0166,86,298.15,997.3,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0,0.0197,86,298.15,997.3,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0,0.0218,86,298.15,997.3,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0,0.0257,86,298.15,997.4,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0,0.0301,86,298.15,997.5,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0,0.0331,86,298.15,997.6,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0,86,298.15,1001.3,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0.0044,86,298.15,1001.4,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0.0078,86,298.15,1001.4,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0.0112,86,298.15,1001.4,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0.0138,86,298.15,1001.4,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0.017,86,298.15,1001.5,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0.0199,86,298.15,1001.5,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0.0224,86,298.15,1001.5,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0.0275,86,298.15,1001.6,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.198,0.0319,86,298.15,1001.6,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.308,0,86,298.15,1003.5,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.308,0.0044,86,298.15,1003.6,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
zSGJs,0.308,0.0106,86,298.15,1003.6,Shekaari et al. (2020a),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AADYJk,O,water,AAIHRm,[Cl-].[Li+],lithium chloride
