setid,"Temperature, K",Mole fraction of ethanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rSlAb,298.15,0,101,1102,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.102,101,1091.3,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.1981,101,1079.7,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.279,101,1069.3,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.3596,101,1055.7,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.4741,101,1033.9,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.6028,101,1001.8,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.6867,101,975.2,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.7678,101,942.9,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.8503,101,901.4,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,0.9327,101,846.4,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,298.15,1,101,785.1,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0,101,1092.1,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.102,101,1081.3,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.1981,101,1069.7,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.279,101,1059.2,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.3596,101,1045.6,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.4741,101,1023.7,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.6028,101,991.4,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.6867,101,964.5,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.7678,101,931.9,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.8503,101,890,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,0.9327,101,834.2,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
rSlAb,313.15,1,101,772,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
