setid,"Temperature, K","MolaLity of 1,3-dimethylimidazolium methylsulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PeSCL,298.15,0.0143,101,945.09,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
PeSCL,298.15,0.0192,101,945.45,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
PeSCL,298.15,0.0305,101,946.29,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
PeSCL,298.15,0.0455,101,947.35,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
PeSCL,298.15,0.06,101,948.34,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
PeSCL,298.15,0.0821,101,949.86,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
PeSCL,298.15,0.1125,101,951.98,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
PeSCL,298.15,0.1679,101,955.78,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
PeSCL,298.15,0.2459,101,961,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
PeSCL,298.15,0.3069,101,964.96,Shekaari and Mousavi (2010),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
