setid,"Temperature, K","Pressure, kPa",Solvent: Mole fraction of benzyl(2-hydroxyethyl)dimethylammonium chloride,Weight fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gcxwV,293.15,101,0.5,0.0987,1227,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,298.15,101,0.5,0.0987,1224,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,303.15,101,0.5,0.0987,1221,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,308.15,101,0.5,0.0987,1218,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,313.15,101,0.5,0.0987,1215,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,318.15,101,0.5,0.0987,1212,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,323.15,101,0.5,0.0987,1209,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,328.15,101,0.5,0.0987,1207,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,333.15,101,0.5,0.0987,1204,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,338.15,101,0.5,0.0987,1201,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,343.15,101,0.5,0.0987,1198,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,348.15,101,0.5,0.0987,1195,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
gcxwV,353.15,101,0.5,0.0987,1192,Florindo et al. (2017),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
