setid,"Solvent: MolaLity of methyltributylammonium chloride, mol/kg","Temperature, K","MolaLity of .alpha.-D-lactose, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ffaPL,0,293.15,0,100,998.21,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
ffaPL,0,293.15,0.0195,100,1001.23,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
ffaPL,0,293.15,0.0392,100,1004.19,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
ffaPL,0,293.15,0.0588,100,1007.11,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
ffaPL,0,293.15,0.0785,100,1009.97,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
ffaPL,0,293.15,0.0981,100,1012.8,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
ffaPL,0,298.15,0,100,997.05,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
ffaPL,0,298.15,0.0195,100,1000.06,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
ffaPL,0,298.15,0.0392,100,1003.02,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
ffaPL,0,298.15,0.0588,100,1005.93,Sharma et al. (2022c),Density,Liquid,ABNqKD,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,.alpha.-D-lactose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
