setid,"Temperature, K",Weight fraction of trisodium citrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kfXgt,298.15,0.042849,101,1062.5,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,298.15,0.06997,101,1074,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,298.15,0.095551,101,1086.5,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,298.15,0.12717,101,1104.3,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,298.15,0.175164,101,1138.5,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,298.15,0.280072,101,1218.7,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,298.15,0.333792,101,1262.2,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,308.15,0.061414,101,1072.1,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,308.15,0.078956,101,1077.3,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,308.15,0.103345,101,1087.3,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,308.15,0.131481,101,1101.7,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,308.15,0.19539,101,1143.7,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,308.15,0.357482,101,1276.4,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,308.15,0.357764,101,1272.4,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,323.15,0.049217,101,1071.4,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,323.15,0.065072,101,1074.3,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,323.15,0.087924,101,1083.6,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,323.15,0.134167,101,1109.4,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,323.15,0.196359,101,1150.4,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,323.15,0.247544,101,1188.1,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
kfXgt,323.15,0.321796,101,1247.1,Han et al. (2010a),Density,Liquid mixture 2,Liquid mixture 1,,21,AAxgvN,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],trisodium citrate,AADYJk,O,water
