setid,Mole fraction of trichloromethane,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oiluM,0,101,298.15,1212.8,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.0918,101,298.15,1225.3,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.1815,101,298.15,1238,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.2793,101,298.15,1256.2,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.3861,101,298.15,1276.5,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.482,101,298.15,1297.4,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.5804,101,298.15,1321.5,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.6467,101,298.15,1340,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.6812,101,298.15,1350,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.729,101,298.15,1366.3,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.7847,101,298.15,1384.7,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
oiluM,0.8677,101,298.15,1418.6,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AAwaEi,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoroacetate,,,
